state,x,y
Alabama,139,77
Alaska,-204,-170
Arizona,-203,99
Arkansas,99,93
California,-297,96
Colorado,-112,158
Connecticut,297,96
Delaware,275,70
Florida,220,-43
Georgia,182,53
Hawaii,-190,-30
Idaho,-216,180
Illinois,95,145
Indiana,133,128
Iowa,38,145
Kansas,12,110
Kentucky,149,107
Louisiana,59,23
Maine,319,164
Maryland,271,85
Massachusetts,312,122
Michigan,148,192
Minnesota,65,212
Mississippi,105,65
Missouri,65,95
Montana,-141,198
Nebraska,-17,150
Nevada,-235,127
New Hampshire,311,141
New Jersey,293,87
New Mexico,-103,78
New York,273,130
North Carolina,230,63
North Dakota,-5,223
Ohio,175,135
Oklahoma,47,78
Oregon,-278,200
Pennsylvania,250,115
Rhode Island,315,108
South Carolina,220,43
South Dakota,-20,188
Tennessee,133,85
Texas,-28,45
Utah,-189,125
Vermont,302,149
Virginia,240,92
Washington,-257,226
West Virginia,215,99
Wisconsin,85,189
Wyoming,-128,181
